count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
941,53,1559,-26.584238,1.940148,0.02584204263985157,0.038303084671497345,-0.0027537806890904903,0.19393625855445862,8.767834663391113,4.118152618408203,-9.830934,1.620415,-3.382307,405.0,853.125,597.0,227.7,434.25,691.125,330.75,232.7,168.0,709.875
942,53,1559,-26.629053,1.9134853,0.0368376150727272,0.0028728994075208902,-0.023523198440670967,0.3423812985420227,8.698400497436523,4.357580184936523,-9.738149,2.3641334,-3.5480444,405.0,853.125,592.5,227.5,435.0,695.625,330.75,232.7,168.0,709.875
943,377,1644,-26.371674,1.7732903,0.030118098482489586,0.010203282348811626,-0.0021429152693599463,0.3615354895591736,8.75107479095459,4.53236198425293,-10.454838,2.3599305,-3.6440282,405.0,853.125,597.0,226.2,434.25,685.5,327.0,232.2,164.25,708.0
944,377,1644,-26.388792,1.8289735,1.857030438259244E-4,0.020587991923093796,-0.014971085824072361,0.3495641350746155,8.743891716003418,4.336031913757324,-10.104369,2.747569,-3.8394642,405.0,853.125,596.25,226.0,438.75,690.0,330.75,232.7,168.0,709.875
945,377,1644,-26.32206,1.777457,0.07410039752721786,0.13237632811069489,0.002133141504600644,0.2897072434425354,8.748680114746094,4.09181547164917,-10.470657,2.978825,-4.0486093,405.0,853.125,597.0,227.2,434.25,689.25,327.0,232.7,164.25,709.875
946,377,1644,-26.442835,1.7830093,0.022176850587129593,0.024253183975815773,9.114109561778605E-4,0.33280420303344727,8.73192024230957,4.350397109985352,-10.109956,2.3159406,-3.5461402,405.0,853.125,597.0,226.7,434.25,687.375,327.0,232.2,164.25,708.0
947,701,1474,-26.31153,1.7361093,0.01973339170217514,0.021809721365571022,-0.004586376249790192,0.3304099142551422,8.755863189697266,4.647287368774414,-10.001802,1.8246809,-3.447253,412.5,847.5,600.75,225.7,438.0,683.625,330.75,231.2,168.0,704.25
948,701,1474,-26.176666,1.7305222,0.005683490075170994,-0.001403157482855022,-0.006418971810489893,0.28013014793395996,8.693612098693848,4.276175022125244,-10.679591,2.27739,-3.5030107,405.0,847.5,600.75,226.2,438.0,685.5,334.5,232.2,171.75,708.0
949,701,1474,-26.121517,1.703169,0.005072625353932381,4.294382524676621E-4,0.0015222762012854218,0.282524436712265,8.748680114746094,4.2594146728515625,-10.1689005,1.2374026,-3.3951674,412.5,847.5,604.5,226.2,441.75,685.5,334.5,231.7,171.75,706.125
950,701,1474,-26.138617,1.7977114,0.010570412501692772,-0.0038466183468699455,0.00518746767193079,0.3016786277294159,8.734314918518066,4.307300567626953,-10.40319,2.4515903,-3.6749942,412.5,847.5,600.0,225.5,442.5,688.125,334.5,232.2,171.75,708.0
951,1025,539,-26.415152,2.2684562,0.014235603623092175,-0.031335555016994476,-0.03207531198859215,0.43336373567581177,8.73192024230957,4.438985347747803,-10.291986,2.7364953,-2.8835206,420.0,843.75,608.25,225.2,445.5,681.75,342.0,229.7,179.25,698.625
952,1025,539,-26.44642,2.3206732,0.02523117884993553,-0.008122675120830536,-0.0021429152693599463,0.4309694766998291,8.748680114746094,4.482082366943359,-10.152107,2.3894322,-2.9465353,420.0,843.75,612.0,226.2,449.25,685.5,345.0,229.5,187.5,703.125
953,1025,539,-26.413002,2.4269829,0.01545733492821455,0.01631193608045578,-0.02841011993587017,0.45251792669296265,8.722343444824219,4.371945858001709,-10.250214,1.2405434,-2.4220185,425.625,843.75,615.75,226.2,453.0,685.5,345.75,230.2,183.0,700.5
954,53,1644,-26.48256,2.1677365,-0.025470636785030365,0.027307508513331413,0.010074389167129993,0.30407288670539856,8.705583572387695,4.09181547164917,-10.382949,1.2124214,-3.708516,412.5,851.25,603.75,227.5,446.25,695.625,338.25,233.7,175.5,713.625
955,53,1644,-26.493372,2.2777398,-0.002257757820188999,-1.8142697808798403E-4,0.008852658793330193,0.337592750787735,8.729525566101074,4.2953290939331055,-10.584595,2.2818663,-3.790681,412.5,843.75,607.5,228.5,450.0,699.375,337.5,234.5,180.0,721.875
956,53,1644,-26.564316,2.4185946,1.857030438259244E-4,-0.01606392301619053,3.005456819664687E-4,0.40463244915008545,8.676852226257324,4.429408550262451,-9.94691,1.8664302,-3.422219,420.0,853.125,608.25,229.2,445.5,696.75,342.0,234.7,179.25,717.375
957,917,1219,-26.579794,2.354743,0.0771547257900238,-0.0026248879730701447,0.003965737298130989,0.40942099690437317,8.770228385925293,4.403071403503418,-10.245762,2.3122177,-3.144763,420.0,843.75,612.0,228.7,449.25,694.875,345.75,233.2,183.0,711.75
958,917,1219,-26.563843,2.3451436,-0.037077076733112335,-0.046607185155153275,0.00518746767193079,0.29928433895111084,8.818114280700684,4.412648677825928,-10.070807,2.2097313,-3.24789,425.625,843.75,611.25,228.5,453.75,699.375,349.5,233.7,186.75,713.625
959,917,1219,-26.507845,2.4662063,0.004461759701371193,-0.009955271147191525,-0.008862433023750782,0.4309694766998291,8.717555046081543,4.369551658630371,-10.077195,2.7852495,-2.9283297,425.625,843.75,615.75,228.7,453.0,694.875,350.25,234.4,182.25,711.0
960,917,1219,-26.54266,2.6529412,-0.0065338145941495895,-0.01606392301619053,0.007020063232630491,0.48843204975128174,8.66248607635498,4.393494129180908,-10.062937,2.0887444,-2.9260225,425.625,851.25,615.0,228.5,457.5,699.375,353.25,234.7,190.5,717.375
